Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Niklas Rønning,M,SBD,Single-ply,Teen 14-18,83,155.0,105.0,135.0,395.0
Marnel Spencer,F,SBD,Raw,Masters 2,47,77.5,52.5,105.0,235.0
Victor Ramirez,M,SBD,Raw,Open,74,-185.0,137.5,202.5,155.0
Arkadiy Shalokha,M,SBD,Single-ply,Open,67.5,250.0,-165.0,250.0,335.0
Herbert Kalischke,M,SBD,Raw,Open,105,-150.0,110.0,160.0,120.0
Edith Guennec,F,SBD,Single-ply,Masters 3,57,95.0,62.5,157.5,315.0
Kai Bolme,M,SBD,Raw,MR-T1,83,-132.5,93.0,143.0,103.5
孙洪辉,M,SBD,Raw,Open,83,210.0,125.0,225.0,560.0
Tommy Ødegård,M,SBD,Raw,Open,93,142.5,115.0,185.0,442.5
Steve Ritucci,M,SBD,Raw,MR-O,83,160.0,125.0,205.0,490.0
Tiffany Vu,F,SBD,Raw,FR-Jr,43,77.5,37.5,97.5,212.5
Nour-Eddine Ghaoui,M,SBD,Raw,Seniors,120,260.0,160.0,260.0,680.0
Romain Lefebvre,M,SBD,Raw,Juniors,83,210.0,-155.0,240.0,295.0
Lewis Davies,M,SBD,Raw,MR-Jr,105,190.0,125.0,230.0,545.0
Andrea Lange,F,SBD,Single-ply,Masters 1,72,90.0,80.0,130.0,300.0
Lindsey Head,F,SBD,Raw,FR-O,63,80.0,37.5,80.0,197.5
Eskil Dekkerhus,M,SBD,Raw,Open,105,182.5,160.0,260.0,602.5
Jagannathan N,M,SBD,Raw,Sub-Juniors,53,70.0,45.0,107.5,222.5
Bryson McJunkin,M,SBD,Raw,MR-G,59,115.0,72.5,105.0,292.5
Syue-En Chen,F,SBD,Single-ply,Sub-Juniors,57,110.0,-70.0,120.0,160.0
Jack Burrell,M,SBD,Raw,Juniors,93,222.5,132.5,245.0,600.0
